P01_01_1, P01, P01_01, 00:00:02.629, 00:00:04.37, 00:00:06.17, 262, 370, turn on light, turn-on, 6, light, 114, ['light'], [114]
P02_02_32, P02, P02_02, 00:01:18.810, 00:01:15.20, 00:01:18.20, 4512, 4692, rinse knife, rinse, 2, knife, 4, ['knife'], [4]
P02_02_33, P02, P02_02, 00:01:17.630, 00:01:17.42, 00:01:18.30, 4645, 4698, put knife down, put-down, 1, knife, 4, ['knife'], [4]
P02_02_34, P02, P02_02, 00:01:16.520, 00:01:18.40, 00:01:19.78, 4704, 4786, rinse knife, rinse, 2, knife, 4, ['knife'], [4]
P02_02_35, P02, P02_02, 00:01:20.070, 00:01:19.88, 00:01:20.64, 4792, 4838, put knife down, put-down, 1, knife, 4, ['knife'], [4]
P02_02_36, P02, P02_02, 00:01:21.090, 00:01:20.80, 00:01:21.42, 4848, 4885, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_37, P02, P02_02, 00:01:23.560, 00:01:21.24, 00:01:22.49, 4874, 4949, pick up mug, pick-up, 0, mug, 13, ['mug'], [13]
P02_02_38, P02, P02_02, 00:01:24.560, 00:01:22.59, 00:01:33.18, 4955, 5590, wash mug, wash, 2, mug, 13, ['mug'], [13]
P02_02_39, P02, P02_02, 00:01:26.619, 00:01:26.39, 00:01:27.40, 5183, 5244, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_40, P02, P02_02, 00:01:28.119, 00:01:27.15, 00:01:32.25, 5229, 5535, rinse mug, rinse, 2, mug, 13, ['mug'], [13]
P02_02_41, P02, P02_02, 00:01:32.840, 00:01:32.35, 00:01:33.10, 5541, 5586, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_42, P02, P02_02, 00:01:34.009, 00:01:33.20, 00:01:34.53, 5592, 5671, put mug, put, 1, mug, 13, ['mug'], [13]
P02_02_43, P02, P02_02, 00:01:36.119, 00:01:34.38, 00:01:35.80, 5662, 5748, pick up mug, pick-up, 0, mug, 13, ['mug'], [13]
P02_02_44, P02, P02_02, 00:01:37.119, 00:01:35.65, 00:01:39.06, 5739, 5943, wash mug, wash, 2, mug, 13, ['mug'], [13]
P02_02_45, P02, P02_02, 00:01:39.659, 00:01:39.41, 00:01:40.25, 5964, 6015, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_46, P02, P02_02, 00:01:40.850, 00:01:40.35, 00:01:45.10, 6021, 6306, rinse mug, rinse, 2, mug, 13, ['mug'], [13]
P02_02_47, P02, P02_02, 00:01:45.240, 00:01:45.18, 00:01:46.27, 6310, 6376, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_48, P02, P02_02, 00:01:47.049, 00:01:46.30, 00:01:47.34, 6378, 6440, put mug, put, 1, mug, 13, ['mug'], [13]
P02_02_49, P02, P02_02, 00:01:49.820, 00:01:47.69, 00:01:48.63, 6461, 6517, pick up glass, pick-up, 0, glass, 10, ['glass'], [10]
P02_02_50, P02, P02_02, 00:01:51.079, 00:01:48.72, 00:01:53.62, 6523, 6817, wash glass, wash, 2, glass, 10, ['glass'], [10]
P02_02_51, P02, P02_02, 00:01:55.259, 00:01:54.94, 00:01:56.00, 6896, 6960, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_52, P02, P02_02, 00:01:56.549, 00:01:56.21, 00:02:02.44, 6972, 7346, rinse glass, rinse, 2, glass, 10, ['glass'], [10]
P02_02_53, P02, P02_02, 00:02:03.880, 00:02:03.08, 00:02:04.21, 7384, 7452, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_54, P02, P02_02, 00:02:05.140, 00:02:04.41, 00:02:05.78, 7464, 7546, put glass into drainer, put-into, 5, glass, 10, ['glass', 'drainer'], [10, 110]
P02_02_55, P02, P02_02, 00:02:07.140, 00:02:06.27, 00:02:07.27, 7576, 7636, pick up plate, pick-up, 0, plate, 2, ['plate'], [2]
P02_02_56, P02, P02_02, 00:02:08.450, 00:02:07.69, 00:02:10.37, 7661, 7822, wash plate, wash, 2, plate, 2, ['plate'], [2]
P02_02_57, P02, P02_02, 00:02:10.619, 00:02:10.34, 00:02:11.78, 7820, 7906, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_58, P02, P02_02, 00:02:12.069, 00:02:11.69, 00:02:15.69, 7901, 8141, rinse plate, rinse, 2, plate, 2, ['plate'], [2]
P02_02_59, P02, P02_02, 00:02:15.310, 00:02:14.84, 00:02:16.13, 8090, 8167, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_60, P02, P02_02, 00:02:16.810, 00:02:16.23, 00:02:17.27, 8173, 8236, put plate into drainer, put-into, 5, plate, 2, ['plate', 'drainer'], [2, 110]
P02_02_61, P02, P02_02, 00:02:18.629, 00:02:17.24, 00:02:18.50, 8234, 8310, pick up mug, pick-up, 0, mug, 13, ['mug'], [13]
P02_02_62, P02, P02_02, 00:02:19.950, 00:02:18.19, 00:02:21.66, 8291, 8499, wash mug, wash, 2, mug, 13, ['mug'], [13]
P02_02_63, P02, P02_02, 00:02:22.180, 00:02:22.11, 00:02:23.59, 8526, 8615, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_64, P02, P02_02, 00:02:23.569, 00:02:23.36, 00:02:27.07, 8601, 8824, rinse mug, rinse, 2, mug, 13, ['mug'], [13]
P02_02_65, P02, P02_02, 00:02:28.330, 00:02:27.10, 00:02:28.16, 8826, 8889, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_66, P02, P02_02, 00:02:29.420, 00:02:28.42, 00:02:29.58, 8905, 8974, put mug into drainer, put-into, 5, mug, 13, ['mug', 'drainer'], [13, 110]
P02_02_67, P02, P02_02, 00:02:32.459, 00:02:29.32, 00:02:30.65, 8959, 9039, pick up glass, pick-up, 0, glass, 10, ['glass'], [10]
P02_02_68, P02, P02_02, 00:02:31.390, 00:02:29.38, 00:02:30.03, 8962, 9001, pick up mug, pick-up, 0, mug, 13, ['mug'], [13]
P02_02_69, P02, P02_02, 00:02:33.459, 00:02:30.26, 00:02:34.43, 9015, 9265, wash glass, wash, 2, glass, 10, ['glass'], [10]
P02_02_70, P02, P02_02, 00:02:35.959, 00:02:34.31, 00:02:35.99, 9258, 9359, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_71, P02, P02_02, 00:02:37.040, 00:02:35.74, 00:02:42.94, 9344, 9776, rinse glass, rinse, 2, glass, 10, ['glass'], [10]
P02_02_72, P02, P02_02, 00:02:43.159, 00:02:42.76, 00:02:44.32, 9765, 9859, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_73, P02, P02_02, 00:02:44.310, 00:02:43.88, 00:02:45.99, 9832, 9959, put glass into drainer, put-into, 5, glass, 10, ['glass', 'drainer'], [10, 110]
P02_02_74, P02, P02_02, 00:02:46.720, 00:02:45.92, 00:02:47.31, 9955, 10038, pick up plate from the left, pick-up, 0, plate, 2, ['plate'], [2]
P02_02_75, P02, P02_02, 00:02:48.620, 00:02:47.41, 00:02:54.18, 10044, 10450, wash plate, wash, 2, plate, 2, ['plate'], [2]
P02_02_77, P02, P02_02, 00:02:55.930, 00:02:54.58, 00:02:56.27, 10474, 10576, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_02_78, P02, P02_02, 00:02:58.019, 00:02:55.95, 00:03:03.05, 10557, 10983, rinse plate, rinse, 2, plate, 2, ['plate'], [2]
P02_02_80, P02, P02_02, 00:03:03.530, 00:03:03.15, 00:03:05.58, 10989, 11134, put plate into drainer, put-into, 5, plate, 2, ['plate', 'drainer'], [2, 110]
P02_02_83, P02, P02_02, 00:03:13.000, 00:03:12.62, 00:03:13.32, 11557, 11599, pick up water filter, pick-up, 0, filter:water, 66, ['filter:water'], [66]
P02_02_84, P02, P02_02, 00:03:15.650, 00:03:15.73, 00:03:21.63, 11743, 12097, open tap while holding the water filter, turn-on, 6, tap, 0, ['tap', 'filter:water'], [0, 66]
P02_02_86, P02, P02_02, 00:03:21.519, 00:03:20.81, 00:03:21.69, 12048, 12101, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_02_88, P02, P02_02, 00:03:24.549, 00:03:23.56, 00:03:25.63, 12213, 12337, put water filter down, put, 1, filter:water, 66, ['filter:water'], [66]
P02_03_10, P02, P02_03, 00:00:29.740, 00:00:29.16, 00:00:30.96, 1749, 1857, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_102, P02, P02_03, 00:05:09.270, 00:05:09.61, 00:05:11.97, 18576, 18718, pick up chopping board, pick-up, 0, board:chopping, 18, ['board:chopping'], [18]
P02_03_106, P02, P02_03, 00:05:18.910, 00:05:17.85, 00:05:18.95, 19071, 19137, put chopping board, put, 1, board:chopping, 18, ['board:chopping'], [18]
P02_03_108, P02, P02_03, 00:05:22.060, 00:05:20.65, 00:05:21.15, 19239, 19269, put knife, put, 1, knife, 4, ['knife'], [4]
P02_03_109, P02, P02_03, 00:05:24.270, 00:05:23.38, 00:05:24.58, 19402, 19474, pick up kettle, pick-up, 0, kettle, 44, ['kettle'], [44]
P02_03_11, P02, P02_03, 00:00:30.740, 00:00:29.75, 00:00:31.60, 1785, 1896, put pan, put, 1, pan, 5, ['pan'], [5]
P02_03_110, P02, P02_03, 00:05:25.520, 00:05:25.11, 00:05:25.64, 19506, 19538, open kettle, open, 3, kettle, 44, ['kettle'], [44]
P02_03_112, P02, P02_03, 00:05:26.960, 00:05:26.17, 00:05:27.25, 19570, 19635, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_03_114, P02, P02_03, 00:05:32.240, 00:05:26.67, 00:05:33.08, 19600, 19984, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_03_116, P02, P02_03, 00:05:33.240, 00:05:32.93, 00:05:33.58, 19975, 20014, close kettle, close, 4, kettle, 44, ['kettle'], [44]
P02_03_117, P02, P02_03, 00:05:34.680, 00:05:34.44, 00:05:35.58, 20066, 20134, put kettle down, put-down, 1, kettle, 44, ['kettle'], [44]
P02_03_118, P02, P02_03, 00:05:35.680, 00:05:35.49, 00:05:36.50, 20129, 20190, switch kettle on, switch-on, 6, kettle, 44, ['kettle'], [44]
P02_03_120, P02, P02_03, 00:05:45.080, 00:05:41.01, 00:05:45.65, 20460, 20739, pick pot, pick, 0, pot, 29, ['pot'], [29]
P02_03_123, P02, P02_03, 00:05:51.030, 00:05:49.93, 00:05:57.56, 20995, 21453, put pot on stove, put-on, 1, pot, 29, ['pot', 'stove'], [29, 24]
P02_03_13, P02, P02_03, 00:00:37.260, 00:00:35.44, 00:00:37.93, 2126, 2275, put pan, put, 1, pan, 5, ['pan'], [5]
P02_03_14, P02, P02_03, 00:00:36.260, 00:00:36.13, 00:00:37.42, 2167, 2245, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_141, P02, P02_03, 00:08:35.240, 00:08:34.80, 00:08:35.56, 30887, 30933, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P02_03_154, P02, P02_03, 00:08:59.510, 00:08:58.76, 00:08:59.51, 32325, 32370, switch stove on, switch-on, 6, stove, 24, ['stove'], [24]
P02_03_157, P02, P02_03, 00:09:11.580, 00:09:11.41, 00:09:12.19, 33084, 33131, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P02_03_159, P02, P02_03, 00:09:13.620, 00:09:13.04, 00:09:13.77, 33182, 33226, close fridge, close, 4, fridge, 12, ['fridge'], [12]
P02_03_161, P02, P02_03, 00:09:19.000, 00:09:18.34, 00:09:19.09, 33500, 33545, pick up plate, pick-up, 0, plate, 2, ['plate'], [2]
P02_03_162, P02, P02_03, 00:09:20.000, 00:09:19.09, 00:09:20.03, 33545, 33601, open microwave, open, 3, microwave, 90, ['microwave'], [90]
P02_03_163, P02, P02_03, 00:09:21.000, 00:09:20.13, 00:09:22.19, 33607, 33731, put plate in microwave, put-in, 5, plate, 2, ['plate', 'microwave'], [2, 90]
P02_03_164, P02, P02_03, 00:09:22.310, 00:09:20.93, 00:09:22.35, 33655, 33741, close microwave, close, 4, microwave, 90, ['microwave'], [90]
P02_03_165, P02, P02_03, 00:09:26.260, 00:09:24.30, 00:09:26.41, 33858, 33984, unplug, unplug, 12, microwave, 90, ['microwave'], [90]
P02_03_166, P02, P02_03, 00:09:27.260, 00:09:26.44, 00:09:27.27, 33986, 34036, unplug, unplug, 12, microwave, 90, ['microwave'], [90]
P02_03_167, P02, P02_03, 00:09:28.260, 00:09:27.37, 00:09:28.70, 34042, 34122, unplug, unplug, 12, microwave, 90, ['microwave'], [90]
P02_03_17, P02, P02_03, 00:00:42.360, 00:00:41.28, 00:00:42.53, 2476, 2551, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_170, P02, P02_03, 00:09:36.390, 00:09:35.13, 00:09:38.36, 34507, 34701, switch microwave on, switch-on, 6, microwave, 90, ['microwave'], [90]
P02_03_173, P02, P02_03, 00:09:45.100, 00:09:43.46, 00:09:45.38, 35007, 35122, get wooden spoon, get, 0, spoon:wooden, 1, ['spoon:wooden'], [1]
P02_03_180, P02, P02_03, 00:10:14.420, 00:10:12.18, 00:10:15.31, 36730, 36918, get plate, get, 0, plate, 2, ['plate'], [2]
P02_03_181, P02, P02_03, 00:10:16.000, 00:10:15.63, 00:10:16.44, 36937, 36986, put plate down, put-down, 1, plate, 2, ['plate'], [2]
P02_03_185, P02, P02_03, 00:10:40.440, 00:10:39.68, 00:10:40.79, 38380, 38447, switch stove off, switch-off, 8, stove, 24, ['stove'], [24]
P02_03_186, P02, P02_03, 00:10:41.940, 00:10:40.63, 00:10:41.96, 38437, 38517, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_188, P02, P02_03, 00:10:49.649, 00:10:48.85, 00:10:50.41, 38931, 39024, put pan down, put-down, 1, pan, 5, ['pan'], [5]
P02_03_189, P02, P02_03, 00:10:54.000, 00:10:53.26, 00:10:53.87, 39195, 39232, switch off microwave, switch-off, 8, microwave, 90, ['microwave'], [90]
P02_03_190, P02, P02_03, 00:10:55.130, 00:10:53.97, 00:10:54.85, 39238, 39291, open microwave, open, 3, microwave, 90, ['microwave'], [90]
P02_03_191, P02, P02_03, 00:10:56.370, 00:10:55.47, 00:10:56.59, 39328, 39395, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P02_03_196, P02, P02_03, 00:11:09.149, 00:11:07.95, 00:11:09.20, 40077, 40152, close fridge, close, 4, fridge, 12, ['fridge'], [12]
P02_03_20, P02, P02_03, 00:00:46.980, 00:00:46.34, 00:00:47.35, 2780, 2841, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_202, P02, P02_03, 00:11:18.370, 00:11:17.30, 00:11:18.30, 40638, 40698, switch stove off, switch-off, 8, stove, 24, ['stove'], [24]
P02_03_204, P02, P02_03, 00:11:25.540, 00:11:24.01, 00:11:25.48, 41040, 41128, pick up mesh, pick-up, 0, mesh, 39, ['mesh'], [39]
P02_03_205, P02, P02_03, 00:11:26.649, 00:11:25.30, 00:11:28.27, 41118, 41296, pick up pot, pick-up, 0, pot, 29, ['pot'], [29]
P02_03_208, P02, P02_03, 00:11:47.570, 00:11:45.87, 00:11:47.07, 42352, 42424, put mesh on plate, put-on, 1, mesh, 39, ['mesh', 'plate'], [39, 2]
P02_03_21, P02, P02_03, 00:00:48.660, 00:00:47.58, 00:00:49.78, 2854, 2986, put pan under the next one, put-under, 1, pan, 5, ['pan'], [5]
P02_03_210, P02, P02_03, 00:11:52.940, 00:11:52.88, 00:11:53.68, 42772, 42820, put mesh onto, put-onto, 1, mesh, 39, ['mesh'], [39]
P02_03_211, P02, P02_03, 00:11:55.440, 00:11:54.42, 00:11:55.83, 42865, 42949, put pan, put, 1, pan, 5, ['pan'], [5]
P02_03_213, P02, P02_03, 00:11:58.720, 00:11:58.34, 00:11:59.93, 43100, 43195, get plate, get, 0, plate, 2, ['plate'], [2]
P02_03_214, P02, P02_03, 00:12:01.019, 00:12:00.90, 00:12:01.81, 43254, 43308, put mesh onto plate, put-onto, 1, mesh, 39, ['mesh', 'plate'], [39, 2]
P02_03_215, P02, P02_03, 00:12:03.360, 00:12:02.38, 00:12:04.25, 43342, 43455, put plate and mesh down, put, 1, plate, 2, ['plate'], [2]
P02_03_216, P02, P02_03, 00:12:06.649, 00:12:05.84, 00:12:08.48, 43550, 43708, pick up kettle, pick-up, 0, kettle, 44, ['kettle'], [44]
P02_03_220, P02, P02_03, 00:12:16.440, 00:12:16.21, 00:12:17.06, 44172, 44223, put kettle down, put-down, 1, kettle, 44, ['kettle'], [44]
P02_03_223, P02, P02_03, 00:12:24.440, 00:12:24.05, 00:12:25.01, 44643, 44700, pick up scissors, pick-up, 0, scissors, 79, ['scissors'], [79]
P02_03_225, P02, P02_03, 00:12:32.220, 00:12:30.08, 00:12:32.14, 45004, 45128, switch stove on, switch-on, 6, stove, 24, ['stove'], [24]
P02_03_229, P02, P02_03, 00:12:46.160, 00:12:45.68, 00:12:46.57, 45940, 45994, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P02_03_231, P02, P02_03, 00:12:48.980, 00:12:48.60, 00:12:49.57, 46116, 46174, close fridge, close, 4, fridge, 12, ['fridge'], [12]
P02_03_232, P02, P02_03, 00:12:50.269, 00:12:49.67, 00:12:51.55, 46180, 46293, pick up plate from microwave, pick-up, 0, plate, 2, ['plate', 'microwave'], [2, 90]
P02_03_233, P02, P02_03, 00:12:51.899, 00:12:51.59, 00:12:52.49, 46295, 46349, close microwave, close, 4, microwave, 90, ['microwave'], [90]
P02_03_235, P02, P02_03, 00:12:57.010, 00:12:55.69, 00:12:56.73, 46541, 46603, put plate, put, 1, plate, 2, ['plate'], [2]
P02_03_24, P02, P02_03, 00:00:53.969, 00:00:52.43, 00:00:53.77, 3145, 3226, pick up pot, pick-up, 0, pot, 29, ['pot'], [29]
P02_03_242, P02, P02_03, 00:13:15.480, 00:13:14.45, 00:13:16.49, 47667, 47789, pick up chopping board with onions, pick-up, 0, board:chopping, 18, ['board:chopping', 'onion'], [18, 16]
P02_03_244, P02, P02_03, 00:13:22.360, 00:13:23.64, 00:13:24.79, 48218, 48287, pick up chopping board, pick-up, 0, board:chopping, 18, ['board:chopping'], [18]
P02_03_245, P02, P02_03, 00:13:27.860, 00:13:27.04, 00:13:29.22, 48422, 48553, switch stove on, switch-on, 6, stove, 24, ['stove'], [24]
P02_03_247, P02, P02_03, 00:13:35.940, 00:13:32.33, 00:13:37.56, 48739, 49053, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P02_03_249, P02, P02_03, 00:13:50.120, 00:13:49.58, 00:13:51.07, 49774, 49864, put chopping board and knife into sink, put-into, 5, board:chopping, 18, ['board:chopping', 'knife', 'sink'], [18, 4, 63]
P02_03_250, P02, P02_03, 00:13:52.290, 00:13:50.93, 00:13:52.17, 49855, 49930, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P02_03_263, P02, P02_03, 00:14:42.040, 00:14:41.09, 00:14:42.28, 52865, 52936, pick up knife, pick-up, 0, knife, 4, ['knife'], [4]
P02_03_267, P02, P02_03, 00:15:03.050, 00:15:02.19, 00:15:02.93, 54131, 54175, put knife down, put-down, 1, knife, 4, ['knife'], [4]
P02_03_268, P02, P02_03, 00:15:04.300, 00:15:03.35, 00:15:04.82, 54201, 54289, pick up two spoons, pick-up, 0, spoon, 1, ['spoon'], [1]
P02_03_269, P02, P02_03, 00:15:06.160, 00:15:05.69, 00:15:07.09, 54341, 54425, put two spoons, put, 1, spoon, 1, ['spoon'], [1]
P02_03_27, P02, P02_03, 00:01:01.050, 00:01:00.47, 00:01:01.93, 3628, 3715, put pot on stove, put-on, 1, pot, 29, ['pot', 'stove'], [29, 24]
P02_03_273, P02, P02_03, 00:15:44.779, 00:15:43.06, 00:15:44.52, 56583, 56671, pick up two spoons, pick-up, 0, spoon, 1, ['spoon'], [1]
P02_03_279, P02, P02_03, 00:15:55.579, 00:15:54.46, 00:15:55.72, 57267, 57343, put spoon down, put-down, 1, spoon, 1, ['spoon'], [1]
P02_03_28, P02, P02_03, 00:01:02.149, 00:01:03.79, 00:01:05.29, 3827, 3917, pick up chopping board, pick-up, 0, board:chopping, 18, ['board:chopping'], [18]
P02_03_281, P02, P02_03, 00:15:57.630, 00:15:56.36, 00:15:57.11, 57381, 57426, pick up spoon, pick-up, 0, spoon, 1, ['spoon'], [1]
P02_03_287, P02, P02_03, 00:16:09.060, 00:16:08.03, 00:16:09.13, 58081, 58147, put spoon into sink, put-into, 5, spoon, 1, ['spoon', 'sink'], [1, 63]
P02_03_289, P02, P02_03, 00:16:13.910, 00:16:11.71, 00:16:13.08, 58302, 58384, pick up spoon, pick-up, 0, spoon, 1, ['spoon'], [1]
P02_03_29, P02, P02_03, 00:01:06.420, 00:01:05.67, 00:01:07.15, 3940, 4029, put chopping board, put, 1, board:chopping, 18, ['board:chopping'], [18]
P02_03_294, P02, P02_03, 00:16:34.910, 00:16:30.61, 00:16:31.83, 59436, 59509, put spoon down, put-down, 1, spoon, 1, ['spoon'], [1]
P02_03_298, P02, P02_03, 00:17:10.000, 00:17:07.03, 00:17:07.85, 61621, 61670, pick up pine nuts plate, pick-up, 0, plate:nut, 2, ['plate:nut'], [2]
P02_03_3, P02, P02_03, 00:00:11.570, 00:00:11.04, 00:00:12.54, 662, 752, get water filter, get, 0, filter:water, 66, ['filter:water'], [66]
P02_03_30, P02, P02_03, 00:01:09.110, 00:01:08.10, 00:01:09.77, 4085, 4186, open fridge, open, 3, fridge, 12, ['fridge'], [12]
P02_03_300, P02, P02_03, 00:17:13.209, 00:17:10.76, 00:17:11.51, 61845, 61890, put plate, put, 1, plate, 2, ['plate'], [2]
P02_03_301, P02, P02_03, 00:17:15.049, 00:17:11.61, 00:17:13.59, 61896, 62015, pick up plate with chicken, pick-up, 0, plate, 2, ['plate', 'chicken'], [2, 57]
P02_03_303, P02, P02_03, 00:17:19.740, 00:17:15.64, 00:17:16.60, 62138, 62195, put plate, put, 1, plate, 2, ['plate'], [2]
P02_03_304, P02, P02_03, 00:17:21.289, 00:17:16.92, 00:17:17.74, 62215, 62264, pick up mesh with broccoli, pick-up, 0, mesh, 39, ['mesh', 'broccoli'], [39, 101]
P02_03_306, P02, P02_03, 00:17:26.760, 00:17:24.62, 00:17:25.89, 62677, 62753, put mesh down, put-down, 1, mesh, 39, ['mesh'], [39]
P02_03_310, P02, P02_03, 00:17:42.100, 00:17:39.10, 00:17:40.54, 63545, 63632, pick up spoon, pick-up, 0, spoon, 1, ['spoon'], [1]
P02_03_313, P02, P02_03, 00:17:51.419, 00:17:47.87, 00:17:49.14, 64072, 64148, put spoon, put, 1, spoon, 1, ['spoon'], [1]
P02_03_325, P02, P02_03, 00:18:37.890, 00:18:34.10, 00:18:35.91, 66846, 66954, pick up steel mesh, pick-up, 0, mesh:steel, 39, ['mesh:steel'], [39]
P02_03_329, P02, P02_03, 00:18:52.120, 00:18:49.05, 00:18:50.58, 67743, 67834, switch off stove, switch-off, 8, stove, 24, ['stove'], [24]
P02_03_330, P02, P02_03, 00:18:54.350, 00:18:50.64, 00:18:53.04, 67838, 67982, pick up pot with pasta, pick-up, 0, pot, 29, ['pot', 'pasta'], [29, 45]
P02_03_334, P02, P02_03, 00:19:14.000, 00:19:11.15, 00:19:12.26, 69069, 69135, put mesh in sink, put-in, 5, mesh, 39, ['mesh', 'sink'], [39, 63]
P02_03_34, P02, P02_03, 00:01:20.210, 00:01:18.61, 00:01:19.25, 4716, 4755, get scissors, get, 0, scissors, 79, ['scissors'], [79]
P02_03_345, P02, P02_03, 00:20:01.950, 00:19:59.27, 00:19:59.98, 71956, 71998, switch off stove, switch-off, 8, stove, 24, ['stove'], [24]
P02_03_347, P02, P02_03, 00:20:06.860, 00:20:03.93, 00:20:05.04, 72235, 72302, pick up chopping board, pick-up, 0, board:chopping, 18, ['board:chopping'], [18]
P02_03_348, P02, P02_03, 00:20:08.510, 00:20:06.01, 00:20:06.95, 72360, 72417, put chopping board, put, 1, board:chopping, 18, ['board:chopping'], [18]
P02_03_349, P02, P02_03, 00:20:11.100, 00:20:08.34, 00:20:09.25, 72500, 72555, pick up scissors, pick-up, 0, scissors, 79, ['scissors'], [79]
P02_03_350, P02, P02_03, 00:20:12.100, 00:20:09.08, 00:20:10.11, 72544, 72606, return scissors, return, 1, scissors, 79, ['scissors'], [79]
P02_03_351, P02, P02_03, 00:20:13.100, 00:20:10.41, 00:20:10.91, 72624, 72654, pick up plate, pick-up, 0, plate, 2, ['plate'], [2]
P02_03_352, P02, P02_03, 00:20:14.100, 00:20:11.21, 00:20:11.96, 72672, 72717, put plate, put, 1, plate, 2, ['plate'], [2]
P02_03_353, P02, P02_03, 00:20:20.059, 00:20:17.94, 00:20:19.12, 73076, 73147, put plate, put, 1, plate, 2, ['plate'], [2]
P02_03_354, P02, P02_03, 00:20:23.539, 00:20:20.58, 00:20:21.85, 73234, 73311, pick up pan, pick-up, 0, pan, 5, ['pan'], [5]
P02_03_357, P02, P02_03, 00:20:41.350, 00:20:38.73, 00:20:39.65, 74323, 74379, put pan, put, 1, pan, 5, ['pan'], [5]
P02_03_358, P02, P02_03, 00:20:43.220, 00:20:39.19, 00:20:39.70, 74351, 74382, put spoon, put, 1, spoon, 1, ['spoon'], [1]
P02_03_360, P02, P02_03, 00:20:45.490, 00:20:42.83, 00:20:45.38, 74569, 74722, pick up plate, pick-up, 0, plate, 2, ['plate'], [2]
P02_03_362, P02, P02_03, 00:20:51.140, 00:20:47.70, 00:20:49.47, 74862, 74968, pick up fork, pick-up, 0, fork, 14, ['fork'], [14]
P02_03_4, P02, P02_03, 00:00:12.570, 00:00:11.30, 00:00:12.33, 678, 739, get cup, get, 0, cup, 13, ['cup'], [13]
P02_03_40, P02, P02_03, 00:01:33.150, 00:01:32.60, 00:01:33.80, 5556, 5628, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_03_43, P02, P02_03, 00:01:42.680, 00:01:42.47, 00:01:43.91, 6148, 6234, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_03_44, P02, P02_03, 00:01:44.869, 00:01:43.90, 00:01:44.78, 6234, 6286, pick up scissors, pick-up, 0, scissors, 79, ['scissors'], [79]
P02_03_59, P02, P02_03, 00:02:38.790, 00:02:37.20, 00:02:38.20, 9432, 9492, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_03_6, P02, P02_03, 00:00:14.889, 00:00:14.22, 00:00:15.04, 853, 902, put water filter, put, 1, filter:water, 66, ['filter:water'], [66]
P02_03_60, P02, P02_03, 00:02:39.959, 00:02:38.30, 00:02:40.29, 9498, 9617, rinse scissors, rinse, 2, scissors, 79, ['scissors'], [79]
P02_03_61, P02, P02_03, 00:02:40.959, 00:02:40.15, 00:02:41.04, 9609, 9662, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_03_62, P02, P02_03, 00:02:41.959, 00:02:41.00, 00:02:42.38, 9660, 9742, put scissors down, put-down, 1, scissors, 79, ['scissors'], [79]
P02_03_67, P02, P02_03, 00:02:57.660, 00:02:57.29, 00:02:58.29, 10637, 10697, open tap, turn-on, 6, tap, 0, ['tap'], [0]
P02_03_69, P02, P02_03, 00:03:05.239, 00:03:04.23, 00:03:05.12, 11053, 11107, close tap, turn-off, 8, tap, 0, ['tap'], [0]
P02_03_70, P02, P02_03, 00:03:07.150, 00:03:06.35, 00:03:08.37, 11181, 11302, put pan with broccoli on stove, put-with, 1, pan, 5, ['pan', 'broccoli', 'stove'], [5, 101, 24]
P02_03_71, P02, P02_03, 00:03:10.260, 00:03:08.43, 00:03:13.59, 11305, 11615, switch stove on, switch-on, 6, stove, 24, ['stove'], [24]
